service_id,date,exception_type
106-Weekday-1-DEC16-1111100,20170117,1
106-Weekday-1-DEC16-1111100,20170118,1
106-Weekday-1-DEC16-1111100,20170119,1
106-Weekday-1-DEC16-1111100,20170120,1
106-Weekday-1-DEC16-1111100,20170123,1
106-Weekday-1-DEC16-1111100,20170124,1
106-Weekday-1-DEC16-1111100,20170125,1
106-Weekday-1-DEC16-1111100,20170126,1
106-Weekday-1-DEC16-1111100,20170127,1
106-Weekday-1-DEC16-1111100,20170130,1
106-Weekday-1-DEC16-1111100,20170131,1
106-Weekday-1-DEC16-1111100,20170201,1
106-Weekday-1-DEC16-1111100,20170202,1
106-Weekday-1-DEC16-1111100,20170203,1
106-Weekday-1-DEC16-1111100,20170206,1
106-Weekday-1-DEC16-1111100,20170207,1
106-Weekday-1-DEC16-1111100,20170208,1
106-Weekday-1-DEC16-1111100,20170209,1
106-Weekday-1-DEC16-1111100,20170210,1
107-Weekday-1-DEC16-1111100,20170111,1
107-Weekday-1-DEC16-1111100,20170112,1
107-Weekday-1-DEC16-1111100,20170113,1
107-Weekday-1-DEC16-1111100,20170116,1
107-Weekday-1-DEC16-1111100,20170117,1
107-Weekday-1-DEC16-1111100,20170118,1
107-Weekday-1-DEC16-1111100,20170119,1
107-Weekday-1-DEC16-1111100,20170120,1
107-Weekday-1-DEC16-1111100,20170123,1
107-Weekday-1-DEC16-1111100,20170124,1
107-Weekday-1-DEC16-1111100,20170125,1
107-Weekday-1-DEC16-1111100,20170126,1
107-Weekday-1-DEC16-1111100,20170127,1
107-Weekday-1-DEC16-1111100,20170130,1
107-Weekday-1-DEC16-1111100,20170131,1
107-Weekday-1-DEC16-1111100,20170201,1
107-Weekday-1-DEC16-1111100,20170202,1
107-Weekday-1-DEC16-1111100,20170203,1
107-Weekday-1-DEC16-1111100,20170206,1
107-Weekday-1-DEC16-1111100,20170207,1
107-Weekday-1-DEC16-1111100,20170208,1
107-Weekday-1-DEC16-1111100,20170209,1
107-Weekday-1-DEC16-1111100,20170210,1
108-Weekday-1-DEC16-1111100,20170111,1
108-Weekday-1-DEC16-1111100,20170112,1
108-Weekday-1-DEC16-1111100,20170113,1
108-Weekday-1-DEC16-1111100,20170116,1
108-Weekday-1-DEC16-1111100,20170117,1
108-Weekday-1-DEC16-1111100,20170118,1
108-Weekday-1-DEC16-1111100,20170119,1
108-Weekday-1-DEC16-1111100,20170120,1
108-Weekday-1-DEC16-1111100,20170123,1
108-Weekday-1-DEC16-1111100,20170124,1
108-Weekday-1-DEC16-1111100,20170125,1
108-Weekday-1-DEC16-1111100,20170126,1
108-Weekday-1-DEC16-1111100,20170127,1
108-Weekday-1-DEC16-1111100,20170130,1
108-Weekday-1-DEC16-1111100,20170131,1
108-Weekday-1-DEC16-1111100,20170201,1
108-Weekday-1-DEC16-1111100,20170202,1
108-Weekday-1-DEC16-1111100,20170203,1
108-Weekday-1-DEC16-1111100,20170206,1
108-Weekday-1-DEC16-1111100,20170207,1
108-Weekday-1-DEC16-1111100,20170208,1
108-Weekday-1-DEC16-1111100,20170209,1
108-Weekday-1-DEC16-1111100,20170210,1
109-Saturday-1-DEC16-0000010,20170114,1
109-Saturday-1-DEC16-0000010,20170121,1
109-Saturday-1-DEC16-0000010,20170128,1
109-Saturday-1-DEC16-0000010,20170204,1
109-Saturday-1-DEC16-0000010,20170211,1
